=> 2-grams:
el texto: 2 
el gran: 2 
invento de: 2 
de nuestro: 2 
Drake asaltó: 2 
asaltó a: 2 
la bisabuela: 2 
bisabuela de: 2 
asustó tanto: 2 
cañones que: 2 
que perdió: 2 
el control: 2 
un fogón: 2 
una esposa: 2 
podía sentarse: 2 
medio lado: 2 
a caminar: 2 
un olor: 2 
sorprendía en: 2 
dormir porque: 2 
sus feroces: 2 
quien tenía: 2 
tenía dos: 2 
hijos se: 2 
se gastó: 2 
sus terrores.: 2 
familia a: 2 
de indios: 2 
estribaciones de: 2 
quien el: 2 
que Francis: 2 
muerte por: 2 
un vínculo: 2 
remordimiento de: 2 
de conciencia.: 2 
su trabajo: 2 
buenas costumbres: 2 
su matrimonio: 2 
cuando ellos: 2 
propios parientes: 2 
de impedirlo.: 2 
que aquellos: 2 
hijo que: 2 
flojos y: 2 
nunca de: 2 
una hachuela: 2 
la ligereza: 2 
ligereza de: 2 
me importa: 2 
que duró: 2 
sido felices: 2 
felices desde: 2 
su descendencia: 2 
y voluntarioso: 2 
marido la: 2 
un pantalón: 2 
le fabricó: 2 
de velero: 2 
por delante: 2 
una gruesa: 2 
hebilla de: 2 
varios meses.: 2 
día él: 2 
pelea y: 2 
ella bordaba: 2 
bordaba en: 2 
en bastidor: 2 
madre. Durante: 2 
horas con: 2 
ya parecía: 2 
la intuición: 2 
Ya ves: 2 
anda diciendo: 2 
gente le: 2 
. Nosotros: 2 
exaltado por: 2 
minutos después: 2 
después volvió: 2 
su abuelo.: 2 
medio pueblo: 2 
lo esperaba.: 2 
un toro: 2 
certera con: 2 
la garganta.: 2 
dormitorio cuando: 2 
lanza en: 2 
piso de: 2 
Si has: 2 
por culpa: 2 
cama hasta: 2 
parientes de: 2 
de Prudencio: 2 
pero a: 2 
la conciencia.: 2 
Úrsula salió: 2 
muy triste: 2 
miedo sino: 2 
Dos noches: 2 
Aguilar en: 2 
salió al: 2 
la lanza.: 2 
estaba el: 2 
el muerto: 2 
muerto con: 2 
atormentaba la: 2 
lluvia la: 2 
que añoraba: 2 
casa buscando: 2 
agua para: 2 
que está: 2 
tan conmovida: 2 
conmovida que: 2 
próxima vez: 2 
ollas de: 2 
buscaba y: 2 
casa. Una: 2 
amigos de: 2 
casas y: 2 
y cargaron: 2 
sus mujeres: 2 
nadie les: 2 
había prometido.: 2 
enterró la: 2 
daba un: 2 
un baúl: 2 
recién casada: 2 
útiles domésticos: 2 
al camino: 2 
no dejar: 2 
ningún rastro: 2 
encontrar gente: 2 
meses con: 2 
la carne: 2 
el caldo: 2 
hijo con: 2 
hecho la: 2 
mitad del: 2 
del camino: 2 
llevaban en: 2 
piernas y: 2 
Márquez niños: 2 
mar. Una: 2 
noche después: 2 
ya de: 2 
indígenas que: 2 
encontraron en: 2 
parecían un: 2 
guerra civil: 2 
seis días: 2 
una locura.: 2 
las huestes: 2 
tenían un: 2 
un aspecto: 2 
con casas: 2 
de paredes: 2 
le contestaron: 2 
nunca había: 2 
Les ordenó: 2 
aldea. José: 2 
descifrar el: 2 
casas con: 2 
de espejos: 2 
creyó entender: 2 
un futuro: 2 
hielo en: 2 
y construir: 2 
ellos las: 2 
nuevas casas: 2 
bisagras y: 2 
sus tentativas: 2 
construir una: 2 
fábrica de: 2 
en especial: 2 
había revelado: 2 
la exaltación: 2 
novedad en: 2 
de separar: 2 
separar el: 2 
Úrsula del: 2 
Mientras su: 2 
padre sólo: 2 
sólo tenía: 2 
el atanor: 2 
primogénito que: 2 
siempre fue: 2 
demasiado grande: 2 
ropa para: 2 
primer hombre: 2 
sus terrores: 2 
terrores de: 2 
tiempo iba: 2 
ayudaba en: 2 
sabía leer: 2 
porvenir en: 2 
Pensaba que: 2 
algo tan: 2 
risa expansiva: 2 
expansiva que: 2 
contrario dijo: 2 
después y: 2 
depósito de: 2 
barajas con: 2 
de carpintería: 2 
hablando de: 2 
ella más: 2 
decir. José: 2 
llenaban de: 2 
terribles deseos: 2 
mujer no: 2 
la siguió: 2 
siguió buscando: 2 
axilas y: 2 
debajo del: 2 
quería que: 2 
a decirle: 2 
día no: 2 
Hizo una: 2 
sin pronunciar: 2 
pronunciar una: 2 
momento no: 2 
La encontraba: 2 
ajena a: 2 
inspiraba su: 2 
espanto de: 2 
la vigilia: 2 
dormitorio con: 2 
truco de: 2 
de barajas.: 2 
una desilusión: 2 
que esa: 2 
a buscarla.: 2 
Él estuvo: 2 
del paso: 2 
que ir: 2 
vistió a: 2 
la tos: 2 
cuarto vecino: 2 
atrancada y: 2 
no simplemente: 2 
lúgubre y: 2 
helada en: 2 
la salita: 2 
él ignoraba: 2 
ignoraba y: 2 
podía determinar: 2 
empujar la: 2 
dormitorio no: 2 
pudo impedir: 2 
comprendió con: 2 
la estrecha: 2 
dormían la: 2 
casa tan: 2 
tan definido: 2 
dedos extendidos: 2 
cara. No: 2 
se confió: 2 
confió a: 2 
llevar hasta: 2 
lo voltearon: 2 
no olía: 2 
mujer sino: 2 
de acordarse: 2 
acordarse del: 2 
se pudiera: 2 
pudiera hacer: 2 
había imaginado: 2 
y sintiendo: 2 
podía resistir: 2 
resistir más: 2 
glacial de: 2 
miedo y: 2 
el ansia: 2 
de huir: 2 
quedarse para: 2 
aquel silencio: 2 
éxodo que: 2 
que culminó: 2 
culminó con: 2 
pública la: 2 
asuntos y: 2 
había cansado: 2 
tres años.: 2 
años. Había: 2 
Había perdido: 2 
los muslos: 2 
su rastro: 2 
del cuarto.: 2 
ocasión encontró: 2 
tenido el: 2 
tocar la: 2 
una espera: 2 
secreto con: 2 
había permitido: 2 
entender por: 2 
muerte. Estaba: 2 
Úrsula. En: 2 
Dios por: 2 
la invención: 2 
invención de: 2 
de guayaba: 2 
prodigio y: 2 
el crisol: 2 
De tanto: 2 
preguntó: «¿Qué: 2 
«¿Qué te: 2 
mano un: 2 
golpe en: 2 
se molestara: 2 
de intimidad: 2 
después sin: 2 
hablando en: 2 
bueno dijo: 2 
encendida para: 2 
bien y: 2 
que quiera: 2 
tenga que: 2 
se te: 2 
sentía contra: 2 
posibilidad del: 2 
una serena: 2 
el riesgo: 2 
de peligro: 2 
hermano pero: 2 
concebir la: 2 
de ansiedad.: 2 
sufrimiento y: 2 
amanecer en: 2 
tener una: 2 
una estera: 2 
estera de: 2 
sin sueño: 2 
levantarse de: 2 
desprecio por: 2 
sabiduría de: 2 
pócima de: 2 
sus bacinillas: 2 
solo día: 2 
podía vivir: 2 
explicaba con: 2 
mecanismo del: 2 
amor lo: 2 
lo interrumpió: 2 
preguntarle: «¿Qué: 2 
cuarto Úrsula: 2 
pero todas: 2 
cuando sintió: 2 
casa llena: 2 
hermano que: 2 
once y: 2 
rondando la: 2 
jugando con: 2 
hermanita recién: 2 
recién nacida: 2 
una cara: 2 
cara que: 2 
le caía: 2 
osé Arcadio.: 2 
Arcadio. Úrsula: 2 
cuando volvieron: 2 
gitanos. Eran: 2 
mercachifles de: 2 
hombres sino: 2 
una simple: 2 
de circo.: 2 
de artificio: 2 
un aporte: 2 
gente desde: 2 
pedacitos de: 2 
disfrutar de: 2 
su compañía: 2 
ocasión y: 2 
dijo. Y: 2 
entendió lo: 2 
ella quería: 2 
quería decirle: 2 
decirle se: 2 
lo explicó: 2 
varios días.: 2 
Le bastaba: 2 
escuchar la: 2 
a refugiarse: 2 
con alborozo: 2 
lo inició: 2 
inició en: 2 
nivel de: 2 
llevando al: 2 
ellos con: 2 
con recursos: 2 
recursos más: 2 
No lograba: 2 
de alguna: 2 
fue tal: 2 
su trastorno: 2 
hermano no: 2 
tenía origen: 2 
una confidencia.: 2 
perdido su: 2 
rencor contra: 2 
cama como: 2 
deambular por: 2 
en algo: 2 
joven casi: 2 
una niña: 2 
agobiada de: 2 
de abalorios: 2 
multitud que: 2 
el triste: 2 
atención. Mientras: 2 
víbora se: 2 
encontraba la: 2 
sus espaldas.: 2 
muchacha trató: 2 
más fuerza: 2 
lo sintió.: 2 
quedó inmóvil: 2 
contra él: 2 
volvió la: 2 
ese instante: 2 
al interior: 2 
la tienda.: 2 
y señores: 2 
como castigo: 2 
castigo por: 2 
no debía.: 2 
carpa de: 2 
la ropa.: 2 
se deshizo: 2 
nada. Era: 2 
de senos: 2 
Arcadio pero: 2 
decisión y: 2 
un calor: 2 
calor que: 2 
embargo José: 2 
pasaban con: 2 
echar una: 2 
pausa de: 2 
se estiró: 2 
qué hacer: 2 
de carnes: 2 
y examinó: 2 
examinó con: 2 
animal en: 2 
te la: 2 
acostó en: 2 
La pasión: 2 
Arcadio. Al: 2 
Al primer: 2 
de dominó: 2 
pálido y: 2 
llenaron de: 2 
lágrimas y: 2 
soportó el: 2 
el impacto: 2 
una firmeza: 2 
firmeza de: 2 
en vilo: 2 
se desbarató: 2 
manantial de: 2 
entraban a: 2 
su idioma.: 2 
un trapo: 2 
su ausencia: 2 
lo buscó: 2 
gitanos no: 2 
había más: 2 
los fogones: 2 
por ahí: 2 
hijo en: 2 
una carretilla: 2 
la jaula: 2 
gritó ella: 2 
ella a: 2 
de alarma: 2 
Ojalá fuera: 2 
mil veces: 2 
hombre. Úrsula: 2 
preguntó por: 2 
por dónde: 2 
camino que: 2 
le indicaron: 2 
y creyendo: 2 
no pensó: 2 
no descubrió: 2 
dejó la: 2 
hombres bien: 2 
en manos: 2 
se ofreció: 2 
ofreció para: 2 
por senderos: 2 
señas al: 2 
dejó vencer: 2 
la consternación.: 2 
cuatro veces: 2 
hasta le: 2 
cantaba en: 2 
nunca supo: 2 
la desdicha: 2 
de clarividencia: 2 
la culpa: 2 
culpa de: 2 
desaparición de: 2 
una callada: 2 
su puesto.: 2 
estaban otra: 2 
hermano en: 2 
mercurio. En: 2 
a suceder: 2 
tiempo estuvo: 2 
un armario: 2 
tan pesado: 2 
fue imposible: 2 
colocada en: 2 
como anuncios: 2 
anuncios de: 2 
Amaranta empezó: 2 
un impulso: 2 
vuelta completa: 2 
completa en: 2 
canastilla en: 2 
puesto y: 2 
el acontecimiento: 2 
ocasión cuando: 2 
pronto casi: 2 
cinco meses: 2 
un estilo: 2 
Buendía apenas: 2 
. Yo: 2 
creía de: 2 
prolongados encierros: 2 
el hallazgo: 2 
la liberación: 2 
metales ni: 2 
oro las: 2 
la perplejidad: 2 
mujeres como: 2 
de cabellos: 2 
lengua y: 2 
se lamentaban: 2 
lamentaban de: 2 
de cosas: 2 
que recibían: 2 
alcanzado a: 2 
gitanos pero: 2 
descubrir en: 2 
grandes inventos.: 2 
Ternera fue: 2 
semanas de: 2 
más por: 2 
la terquedad: 2 
terquedad de: 2 
impuso la: 2 
verdadera identidad.: 2 
recibió el: 2 
aquella época: 2 
el cuidado: 2 
relegado a: 2 
una peste: 2 
peste de: 2 
su tribu: 2 
y serviciales: 2 
aprendieron a: 2 
lagartijas y: 2 
se diera: 2 
diera cuenta: 2 
llegaron con: 2 
calidad de: 2 
posición privilegiada: 2 
con respecto: 2 
talleres de: 2 
de pantuflas: 2 
pantuflas y: 2 
y argollas: 2 
argollas en: 2 
de reposo.: 2 
interés por: 2 
de manera: 2 
privilegios que: 2 
tanta autoridad: 2 
recién llegados: 2 
se pararon: 2 
fuera él: 2 
ahora con: 2 
un gigantesco: 2 
suerte y: 2 
y azar: 2 
se pensó: 2 
según pensaba: 2 
pensaba Úrsula: 2 
les permitió: 2 
permitió a: 2 
pueblo ni: 2 
su milenaria: 2 
la faz: 2 
faz de: 2 
y trabajo: 2 
permitió una: 2 
pájaros que: 2 
su lugar: 2 
árabes cambiaban: 2 
cambiaban por: 2 
cada media: 2 
se alegraba: 2 
alcanzar la: 2 
nunca las: 2 
para hacerlos: 2 
un campamento: 2 
de casas: 2 
calles más: 2 
aunque nadie: 2 
Aureliano vivía: 2 
interminables en: 2 
padre pero: 2 
pero fue: 2 
la corpulencia: 2 
si abandonaba: 2 
su ensimismamiento: 2 
llaves de: 2 
vez le: 2 
le hiciera: 2 
dinero en: 2 
eran apenas: 2 
día a: 2 
«No tienes: 2 
Y mientras: 2 
se lamentaba: 2 
mala suerte: 2 
las extravagancias: 2 
de incertidumbre.: 2 
a venir: 2 
dijo. Úrsula: 2 
Úrsula como: 2 
pasaban a: 2 
por Macondo: 2 
embargo por: 2 
estaba seguro: 2 
insistió pero: 2 
que sea: 2 
domingo en: 2 
de once: 2 
penoso viaje: 2 
desde Manaure: 2 
de pieles: 2 
encargo de: 2 
Buendía pero: 2 
la persona: 2 
su equipaje: 2 
ropa un: 2 
un pequeño: 2 
a mano: 2 
hacía un: 2 
llevaba los: 2 
La carta: 2 
estaba escrita: 2 
escrita en: 2 
en términos: 2 
distancia y: 2 
obligado por: 2 
de mandarle: 2 
desamparada que: 2 
en segundo: 2 
por consiguiente: 2 
también de: 2 
más lejano: 2 
era hija: 2 
amigo que: 2 
la firma: 2 
pero ni: 2 
con esos: 2 
de Manaure.: 2 
A través: 2 
niña fue: 2 
a chuparse: 2 
sus grandes: 2 
de entender: 2 
de diagonal: 2 
de charol.: 2 
un escapulario: 2 
escapulario con: 2 
muñeca derecha: 2 
animal carnívoro: 2 
montada en: 2 
tenso como: 2 
salud y: 2 
un hambre: 2 
dieran de: 2 
can el: 2 
el plato: 2 
llegó inclusive: 2 
si quería: 2 
los hubiera: 2 
madre porque: 2 
Aureliano tuvo: 2 
logró que: 2 
tiempo no: 2 
había muerta: 2 
huesos en: 2 
hubiera un: 2 
lugar digno: 2 
partes y: 2 
Pasó mucho: 2 
incorporara a: 2 
vida familiar.: 2 
buscaba con: 2 
todo porque: 2 
can sus: 2 
tierra húmeda: 2 
tortas de: 2 
que arrancaba: 2 
arrancaba de: 2 
por ese: 2 
pues lo: 2 
de culpa: 2 
cuando nadie: 2 
una vigilancia: 2 
hiél de: 2 
ají picante: 2 
ingenio para: 2 
para procurarse: 2 
jugo de: 2 
con ruibarbo: 2 
Rebeca era: 2 
decían las: 2 
las escandalizadas: 2 
el tratamiento: 2 
estableció nunca: 2 
verdad es: 2 
dar muestras: 2 
los juegos: 2 
una hermana: 2 
y comió: 2 
bien de: 2 
que hablaba: 2 
hablaba el: 2 
indios que: 2 
una habilidad: 2 
un miembro: 2 
familia. Era: 2 
propios hijos: 2 
tuvo siempre: 2 
noche por: 2 
otros niños: 2 
dormía con: 2 
casualidad y: 2 
y oyó: 2 
su destino: 2 
en esos: 2 
esos ojos: 2 
los síntomas: 2 
síntomas de: 2 
del insomnio.: 2 
Cataure el: 2 
no amaneció: 2 
amaneció en: 2 
«Si no: 2 
la vida.»: 2 
les explicó: 2 
explicó que: 2 
más temible: 2 
no sentía: 2 
sino su: 2 
el olvido.: 2 
el enfermo: 2 
de vigilia: 2 
la noción: 2 
último la: 2 
las personas: 2 
personas y: 2 
la superstición: 2 
Rebeca de: 2 
de varias: 2 
de Visitación: 2 
encontró una: 2 
un minuto: 2 
minuto pero: 2 
siguiente se: 2 
Aureliano comentó: 2 
Úrsula el: 2 
el tercer: 2 
dijo la: 2 
la peste.: 2 
efecto la: 2 
beber a: 2 
veían las: 2 
imágenes de: 2 
los otros.: 2 
hombre muy: 2 
camisa cerrado: 2 
de aro: 2 
niña en: 2 
Rebeca pero: 2 
pero aunque: 2 
esfuerzo por: 2 
los animalitos: 2 
fabricados en: 2 
insomnio de: 2 
principio nadie: 2 
había tanto: 2 
que pronto: 2 
pronto no: 2 
encontraron a: 2 
madrugada con: 2 
brazos cruzados: 2 
sin tregua: 2 
a repetirse: 2 
horas los: 2 
cuando contestaban: 2 
dijeran que: 2 
no el: 2 
se quedaran: 2 
así sucesivamente: 2 
jefes de: 2 
a otras: 2 
se quitaron: 2 
súplicas de: 2 
insistían en: 2 
calles de: 2 
Macondo tenían: 2 
durante su: 2 
duda de: 2 
se mantuvo: 2 
tuvo por: 2 
por cosa: 2 
recobró su: 2 
a preocuparse: 2 
la inútil: 2 
Aureliano quien: 2 
varias meses: 2 
sido uno: 2 
no recordó: 2 
recordó su: 2 
nombre en: 2 
pegó con: 2 
con goma: 2 
base del: 2 
ocurrió que: 2 
de recordar.: 2 
dificultades para: 2 
para recordar: 2 
la inscripción: 2 
le comunicó: 2 
olvidado hasta: 2 
tarde la: 2 
impuso a: 2 
llegar un: 2 
recordara su: 2 
Entonces fue: 2 
la cerviz: 2 
la vaca: 2 
una muestra: 2 
Macondo estaban: 2 
luchar contra: 2 
leche y: 2 
y hacer: 2 
Así continuaron: 2 
continuaron viviendo: 2 
ciénaga se: 2 
otro más: 2 
calle central: 2 
casas se: 2 
los objetas: 2 
vigilancia y: 2 
y tanta: 2 
muchos sucumbieron: 2 
fue quien: 2 
concibió el: 2 
se recordaba: 2 
recordaba apenas: 2 
apenas como: 2 
moreno que: 2 
a principios: 2 
madre se: 2 
mano izquierda: 2 
izquierda y: 2 
una fecha: 2 
al último: 2 
alondra en: 2 
de consolación: 2 
memoria que: 2 
había deseado: 2 
deseado para: 2 
fundaba en: 2 
un diccionario: 2 
mediante una: 2 
ojos las: 2 
de catorce: 2 
par el: 2 
una maleta: 2 
cuerdas y: 2 
se hundía: 2 
hundía sin: 2 
remedio en: 2 
estaba también: 2 
todavía los: 2 
abanicándose con: 2 
y ahora: 2 
ahora no: 2 
con otro: 2 
más cruel: 2 
indescifrables y: 2 
Buendía una: 2 
una sustancia: 2 
su memoria.: 2 
memoria. Los: 2 
Los ojos: 2 
humedecieron de: 2 
verse a: 2 
una sala: 2 
estaban marcados: 2 
aun antes: 2 
de reconocer: 2 
reconocer al: 2 
recién llegado: 2 
alegría. Era: 2 
a quedarse: 2 
sobrenatural como: 2 
rincón del: 2 
de metal: 2 
que apareció: 2 
erizada y: 2 
ceniciento el: 2 
prendido con: 2 
risa como: 2 
mañana de: 2 
daguerrotipo porque: 2 
poca a: 2 
Por una: 2 
aquella idea: 2 
fue también: 2 
olvidó sus: 2 
nunca permitió: 2 
le hicieran: 2 
una cucharada: 2 
cucharada de: 2 
de jarabe: 2 
de tuétano: 2 
uno para: 2 
cámara de: 2 
entre Amaranta: 2 
clarividente que: 2 
había sentido: 2 
el preciosismo: 2 
preciosismo de: 2 
trabajo. En: 2 
taller que: 2 
que compartía: 2 
compartía con: 2 
gritos las: 2 
un estrépito: 2 
estrépito de: 2 
de frascos: 2 
el desastre: 2 
perdido por: 2 
más dinero: 2 
pero todo: 2 
hecho y: 2 
conocido mujer.: 2 
Meses después: 2 
él mismo.: 2 
con detalles: 2 
su itinerario: 2 
si alguien: 2 
mandar a: 2 
casualidad una: 2 
escuchaba las: 2 
desapareció de: 2 
que llevarla: 2 
una mulata: 2 
mulata adolescente: 2 
Encontró a: 2 
compás con: 2 
algunos hombres: 2 
hombres estaba: 2 
can una: 2 
fieltro en: 2 
Hacia la: 2 
su familia.: 2 
Se disponía: 2 
. Sólo: 2 
una moneda: 2 
la alcancía: 2 
de perra: 2 
estaba desnuda: 2 
tres hombres: 2 
pasado por: 2 
a convertirse: 2 
Pesaba como: 2 
en pie: 2 
causa del: 2 
resistir a: 2 
la urgencia: 2 
urgencia de: 2 
de expulsar: 2 
arreglar la: 2 
dijeron que: 2 
otros veinte: 2 
la salida: 2 
su desnudez: 2 
desnudez no: 2 
no resistía: 2 
más indiferente: 2 
muchacha se: 2 
pellejo pegado: 2 
apagar la: 2 
hombres por: 2 
que pagar: 2 
gastos de: 2 
el sueldo: 2 
puerta por: 2 
vez Aureliano: 2 
hecho nada: 2 
noche no: 2 
muchacha con: 2 
la serena: 2 
pueblo. El: 2 
agravó su: 2 
refugió en: 2 
Se resignó: 2 
resignó a: 2 
hombre sin: 2 
su inutilidad.: 2 
terminó de: 2 
los delirios: 2 
había resuelto: 2 
científica de: 2 
lugares de: 2 
poner término: 2 
todas a: 2 
la suposición: 2 
su existencia.: 2 
de Nostradamus.: 2 
la lumbre: 2 
lumbre de: 2 
otra época.: 2 
encontrar una: 2 
Sería una: 2 
estirpe de: 2 
«Es una: 2 
Buendía por: 2 
siglos de: 2 
pugnaba por: 2 
que producía: 2 
de pan: 2 
variedad de: 2 
los vericuetos: 2 
pero era: 2 
miró por: 2 
india la: 2 
la masa: 2 
dado un: 2 
nuevo lugar: 2 
unas manos: 2 
con hilos: 2 
Amaranta la: 2 
poco sin: 2 
sin gracia: 2 
natural el: 2 
aunque ya: 2 
a aprender: 2 
aprender el: 2 
enseñado a: 2 
y escribir.: 2 
había llenado: 2 
casarse y: 2 
a dispersarse: 2 
Entonces sacó: 2 
compromisos con: 2 
la ampliación: 2 
ampliación de: 2 
casa. Dispuso: 2 
se construyera: 2 
construyera una: 2 
otra más: 2 
más cómoda: 2 
y fresca: 2 
uso diario: 2 
familia con: 2 
con ventanas: 2 
destruir el: 2 
granero donde: 2 
donde Pilar: 2 
veces más: 2 
construir en: 2 
castaño un: 2 
baño para: 2 
una caballeriza: 2 
gallinero alambrado: 2 
abierta a: 2 
la conducta: 2 
herramientas y: 2 
mundo el: 2 
eran ellos: 2 
bien cómo: 2 
surgiendo de: 2 
entrañas de: 2 
casa más: 2 
de sorprender: 2 
de pintar: 2 
pintar la: 2 
azul y: 2 
no de: 2 
un papel.: 2 
sin comprender: 2 
preguntó. El: 2 
el gobierno.: 2 
Moscote el: 2 
el corregidor: 2 
de chucherías: 2 
los Buendía.: 2 
azul para: 2 
la independencia: 2 
independencia nacional.: 2 
encontró durmiendo: 2 
siesta en: 2 
tímido de: 2 
que sí.: 2 
a preguntar: 2 
buscó un: 2 
gaveta de: 2 
corregidor de: 2 
miró el: 2 
En este: 2 
lo sepa: 2 
hay nada: 2 
habían fundado: 2 
abierto los: 2 
muerte natural: 2 
gobierno no: 2 
y esperaba: 2 
que así: 2 
pueblo para: 2 
que debían: 2 
un saco: 2 
saco de: 2 
de dril: 2 
si usted: 2 
implantar el: 2 
atrás y: 2 
las mandíbulas: 2 
que estoy: 2 
subió a: 2 
la solapa: 2 
solapa y: 2 
levantó a: 2 
altura de: 2 
muerto por: 2 
Así la: 2 
después estaba: 2 
descalzos y: 2 
una carreta: 2 
carreta de: 2 
baúles y: 2 
familia en: 2 
los soldados.: 2 
fundadores de: 2 
según explicó: 2 
Moscote había: 2 
hijas y: 2 
Ya para: 2 
para entonces: 2 
negro de: 2 
puntas engomadas: 2 
voz un: 2 
al despacho: 2 
despacho del: 2 
del corregidor.: 2 
no perdió: 2 
una preciosa: 2 
de lirio: 2 
y ojos: 2 
ojos verdes.: 2 
se queda: 2 
sus hijas.: 2 
dio tiempo: 2 
cada quien: 2 
del color: 2 
dé la: 2 
mano derecha: 2 
un tono: 2 
usted y: 2 
Esa misma: 2 
después José: 2 
familia del: 2 
quedó en: 2 
una sensación: 2 
casi le: 2 
había concebido: 2 
decirse que: 2 
las visitas.: 2 
Para que: 2 
había encargado: 2 
a pedazos: 2 
de Bohemia: 2 
la Compañía: 2 
Compañía de: 2 
palmatorias y: 2 
su cuenta: 2 
cuenta un: 2 
a bailar: 2 
Crespi era: 2 
joven y: 2 
Macondo tan: 2 
calor sofocante: 2 
una distancia: 2 
una consagración: 2 
puerta sin: 2 
testigo del: 2 
colocó el: 2 
los listones: 2 
listones de: 2 
un silencio: 2 
silencio de: 2 
Todos se: 2 
precipitaron a: 2 
Buendía pareció: 2 
belleza de: 2 
obtener el: 2 
Ese día: 2 
almorzó con: 2 
la fluidez: 2 
de manos: 2 
manos pálidas: 2 
Crespi las: 2 
a bailar.: 2 
sala un: 2 
zapatillas de: 2 
de baile.: 2 
hombre es: 2 
no terminó: 2 
terminó el: 2 
el aprendizaje: 2 
se marchó: 2 
marchó de: 2 
los invitados: 2 
descendientes de: 2 
otros dos: 2 
de clase: 2 
por sentimientos: 2 
los favorecidos: 2 
Macondo sino: 2 
y nietos: 2 
Arcadio desde: 2 
dos policías: 2 
policías armados: 2 
bolillos de: 2 
gastos domésticos: 2 
un taller: 2 
consiguieron que: 2 
tomara en: 2 
en cuenta: 2 
vajillas y: 2 
cuadros de: 2 
doncellas en: 2 
en barcas: 2 
barcas cargadas: 2 
un soplo: 2 
los espacios: 2 
que construyeron: 2 
los albañiles: 2 
días antes: 2 
extremo y: 2 
se volvían: 2 
volvían a: 2 
sobresaltos y: 2 
en aquellos: 2 
días pero: 2 
olorosa a: 2 
húmeda y: 2 
saturado por: 2 
desconocido que: 2 
Quienes conocían: 2 
en otras: 2 
desilusión de: 2 
Úrsula cuando: 2 
abrieran el: 2 
el baile: 2 
para tratar: 2 
luego en: 2 
las cuerdas: 2 
concierto y: 2 
los veintiún: 2 
componer la: 2 
a ordenar: 2 
en extremo: 2 
baile para: 2 
una demostración: 2 
Amaranta los: 2 
fue interrumpida: 2 
los curiosos: 2 
Arcadio tenía: 2 
luego de: 2 
apagado las: 2 
llorar. Fue: 2 
un carácter: 2 
carácter solitario: 2 
mecedorcito de: 2 
descubierto que: 2 
perdía ocasión: 2 
adquirido la: 2 
amigas en: 2 
de nostalgia: 2 
cuando veía: 2 
las lombrices: 2 
estallaron en: 2 
casi por: 2 
por curiosidad: 2 
sería el: 2 
efecto no: 2 
bolsillos y: 2 
vista con: 2 
sacrificio de: 2 
ellos la: 2 
la cal: 2 
remoto y: 2 
mundo le: 2 
peso y: 2 
un sabor: 2 
paz en: 2 
tarde sin: 2 
ningún motivo: 2 
pidió permiso: 2 
visita imprevista: 2 
la mansión: 2 
oír los: 2 
los rollos: 2 
le ofrecieron: 2 
de dignidad: 2 
dignidad de: 2 
encanto personal: 2 
la visita.: 2 
horas cuando: 2 
carta a: 2 
la muy: 2 
muy distinguida: 2 
Márquez con: 2 
y dobló: 2 
mirando a: 2 
de Amparo: 2 
Moscote y: 2 
las esperanzas: 2 
Aureliano. El: 2 
paseaba por: 2 
más próximos: 2 
Visbal y: 2 
la buscaba: 2 
presencia de: 2 
se decía: 2 
. Tiene: 2 
Tiene que: 2 
lo repitió: 2 
tanta convicción: 2 
de organdí: 2 
salía por: 2 
se aproximó: 2 
decirle a: 2 
niña se: 2 
que abandonó: 2 
perdió Aureliano: 2 
paciencia con: 2 
había esperado: 2 
de verla: 2 
esfuerzos de: 2 
La buscó: 2 
pero solamente: 2 
solamente la: 2 
y terrible: 2 
Pasaba horas: 2 
horas enteras: 2 
valses de: 2 
los escuchaba: 2 
música con: 2 
simplemente porque: 2 
todo hasta: 2 
le recordaba: 2 
versos que: 2 
no tenían: 2 
escribía en: 2 
Melquíades en: 2 
paredes del: 2 
sus brazos: 2 
en todos: 2 
soporífero de: 2 
el vapor: 2 
la ventana.: 2 
cada quince: 2 
la esperaba: 2 
una avidez: 2 
de postración: 2 
abrió en: 2 
un delirio: 2 
forzó la: 2 
la cerradura: 2 
cerradura del: 2 
atadas con: 2 
con cintas: 2 
de rosa: 2 
cartas perfumadas: 2 
esqueletos de: 2 
mariposas disecadas: 2 
de comprender: 2 
Úrsula trataba: 2 
él fue: 2 
una galería: 2 
galería de: 2 
olorosas a: 2 
Aureliano pero: 2 
Una de: 2 
se acordaba: 2 
acordaba de: 2 
Remedios pero: 2 
la tortura: 2 
tortura de: 2 
momento empezó: 2 
navegando en: 2 
peso ni: 2 
salían de: 2 
labios y: 2 
y haciendo: 2 
correspondían a: 2 
puso una: 2 
flor de: 2 
olvido y: 2 
Ternera en: 2 
afirmó en: 2 
y levantó: 2 
llegado hasta: 2 
allí pero: 2 
pero sabía: 2 
sabía cuál: 2 
embadurnada de: 2 
de fango: 2 
fango y: 2 
sus dos: 2 
ninguna pregunta.: 2 
Lo llevó: 2 
un estropajo: 2 
le quitó: 2 
se desnudó: 2 
la vieran: 2 
incontables hombres: 2 
el rescoldo: 2 
rescoldo del: 2 
oscuridad le: 2 
cuello con: 2 
se estremeció.: 2 
Cuando salió: 2 
Después se: 2 
tumefacto y: 2 
rascándole la: 2 
la risa: 2 
la burla: 2 
Aureliano un: 2 
remanso de: 2 
niña le: 2 
paz de: 2 
descubrir la: 2 
